Rank,Arena,Capacity(Seating capacity only),City,Country,Home Team
1,Bell Centre,"21,273",Montreal,Canada,Montreal Canadiens
2,United Center,"19,717",Chicago,United States,Chicago Blackhawks
3,Wells Fargo Center,"19,537",Philadelphia,United States,Philadelphia Flyers
4,Little Caesars Arena,"19,515",Detroit,United States,Detroit Red Wings
5,Scotiabank Saddledome,"19,289",Calgary,Canada,Calgary Flames
6,BB&T Center,"19,250",Sunrise,United States,Florida Panthers
7,Enterprise Center,"19,150",St. Louis,United States,St. Louis Blues
8,Amalie Arena,"19,092",Tampa,United States,Tampa Bay Lightning
9,KeyBank Center,"19,070",Buffalo,United States,Buffalo Sabres
11,Rogers Arena,"18,910",Vancouver,Canada,Vancouver Canucks
12,Scotiabank Arena,"18,800",Toronto,Canada,Toronto Maple Leafs
13,PNC Arena,"18,680",Raleigh,United States,Carolina Hurricanes
14,Canadian Tire Centre,"18,652",Ottawa,Canada,Ottawa Senators
15,Rogers Place,"18,641",Edmonton,Canada,Edmonton Oilers
16,American Airlines Center,"18,532",Dallas,United States,Dallas Stars
17,Capital One Arena,"18,506",Washington,United States,Washington Capitals
19,PPG Paints Arena,"18,387",Pittsburgh,United States,Pittsburgh Penguins
22,Staples Center,"18,230",Los Angeles,United States,Los Angeles Kings
23,Nationwide Arena,"18,144",Columbus,United States,Columbus Blue Jackets
24,Xcel Energy Center,"18,064",St. Paul,United States,Minnesota Wild
25,Pepsi Center,"18,007",Denver,United States,Colorado Avalanche
26,Madison Square Garden (IV),"20,789",New York City,United States,New York Rangers
27,TD Garden,"17,850",Boston,United States,Boston Bruins
28,SAP Center at San Jose,"17,562",San Jose,United States,San Jose Sharks
30,T-Mobile Arena,"17,500",Las Vegas,United States,Vegas Golden Knights
33,Honda Center,"17,174",Anaheim,United States,Anaheim Ducks
34,Gila River Arena,"17,125",Glendale,United States,Arizona Coyotes
35,Bridgestone Arena,"17,113",Nashville,United States,Nashville Predators
40,Prudential Center,"16,514",Newark,United States,New Jersey Devils
41,Barclays Center,"15,813",Brooklyn,United States,New York Islanders
44,Bell MTS Place,"15,294",Winnipeg,Canada,Winnipeg Jets
