,Date,Game Location,ID,Tweet,User
0,2018-12-05 02:34:40+00:00,Milwaukee,1070144395083739136,My class ran into @Khris22m Khris Middleton at the Fiserv Forum! #bestfieldtripever #milwaukeebucks #uwm #EventClass @Fiserv Forum https://www.instagram.com/p/Bq_TLq_n_cz/?utm_source=ig_twitter_share&amp;igshid=vt91wsas3cld,GirlTosa
1,2019-03-16 01:04:00+00:00,Milwaukee,1106722751736410112,"Giannis tries to pass the ball to Khris, gets deflected, and goes out of bounds Middleton haters: Fucking Khris Middleton... ",MKECapsFan32
2,2019-03-17 19:18:02+00:00,Milwaukee,1107360459865260032,"That Borderline Star/Boston Series Khris Middleton needs to show himself starting today, and for the rest of the season. Yeah, other guys are gonna have to step up and help fill Brogdon's void, but if KHRIS MIDDLETON CAN BALL OUT... we will continue to roll...",CooolJay_
3,2019-03-17 22:14:47+00:00,Milwaukee,1107404942883676165,Khris Middleton gonna take a paycut in the summer and the Bucks gonna land an Elite player. Put this in your rememberer!,CooolJay_
4,2019-03-18 02:57:10+00:00,Milwaukee,1107476007685181440,Y’all can have Khris Middleton ,Mr__fantastic__
5,2019-03-20 02:28:55+00:00,Milwaukee,1108193670740758529,53-18. WOW. 30-10-5 Khris Middleton? I can dig it.,CooolJay_
6,2019-03-20 23:01:02+00:00,Milwaukee,1108503743455219715,All is well if Khris Middleton KEEPS BALLING....,CooolJay_
7,2019-03-20 23:16:10+00:00,Milwaukee,1108507555515506688,This is the Khris Middleton we need every game,michaelll_w
8,2019-03-23 00:16:26+00:00,Milwaukee,1109247496226832386,"@MiamiHEAT vs BUCKS STARTERS: Eric Bledsoe, Tony Snell, Khris Middleton, Giannis Antetokounmpo &amp; Brook Lopez. OUT: Mirotic, Brogdon &amp; Gasol.",MikeInglisHEAT
9,2019-03-23 19:37:34+00:00,Milwaukee,1109539705874534400,*everyone that disagrees with me about khris middleton is ugly n idk why god made it that way but she did,bucksthot
10,2019-03-27 01:18:08+00:00,Milwaukee,1110712576307023873, Chill @cp3 where was he going #FearTheDeer #Rockets . . . . #nba #thisiswhyweplay #jamesharden #giannisantetokounmpo #chrispaul #ericbledsoe #khrismiddleton #antetokounmpo… https://www.instagram.com/p/BvfjOhuARUA/?utm_source=ig_twitter_share&amp;igshid=8924jd1vgsz6,MikeandDrewShow
11,2019-03-27 02:23:56+00:00,Milwaukee,1110729133284384768,Khris Middleton does not deserve to be in the NBA send that nigga to the G League,Mr__fantastic__
12,2019-04-05 05:49:41+00:00,Milwaukee,1114042404250750976,thinking of sad stuff rn like how the most attention that khris middleton gets is HATE from *local* fans...on a *60 win team*...as its *2nd all star*. poor khris i love you.,bucksthot
